run_idx,repeat,query,query_category,source,source_name,recipe_title,recipe_url,extraction_method,has_title,has_ingredients,has_instructions,has_image,ingredient_count,instruction_count,completeness_score,formatting_artifact
1,1,chicken curry,main,bbc,BBC Food,"Black chicken curry, fried leeks and yellow rice",https://www.bbc.co.uk/food/recipes/black_chicken_curry_00331,Schema.org JSON-LD,1,1,1,0,46,19,1.0,0
2,1,vegetarian pasta,main,bbc,BBC Food,Vegetarian bolognese,https://www.bbc.co.uk/food/recipes/puy_lentil_bolognaise_40407,Schema.org JSON-LD,1,1,1,1,15,6,1.0,0
3,1,chocolate cake,dessert,bbc,BBC Food,Chocolate drip cake,https://www.bbc.co.uk/food/recipes/chocolate_drip_cake_48926,Schema.org JSON-LD,1,1,1,1,21,14,1.0,0
4,1,beef stew,main,bbc,BBC Food,Easy slow cooker beef stew,https://www.bbc.co.uk/food/recipes/slow_cooker_beef_stew_24305,Schema.org JSON-LD,1,1,1,1,15,3,1.0,0
5,1,mushroom soup,main,bbc,BBC Food,Mushroom soup with garlic bread,https://www.bbc.co.uk/food/recipes/wild_mushroom_soup_with_65367,Schema.org JSON-LD,1,1,1,0,15,9,1.0,0
6,1,salmon,main,bbc,BBC Food,How to cook salmon,https://www.bbc.co.uk/food/recipes/how_to_cook_salmon_70504,Schema.org JSON-LD,1,1,1,1,11,8,1.0,0
7,1,lentil dal,main,bbc,BBC Food,Chana dal with crispy tarka,https://www.bbc.co.uk/food/recipes/chana_daal_with_tarka_62765,Schema.org JSON-LD,1,1,1,1,18,6,1.0,0
8,1,apple pie,dessert,bbc,BBC Food,Perfect apple pie,https://www.bbc.co.uk/food/recipes/perfect_apple_pie_73735,Schema.org JSON-LD,1,1,1,1,9,11,1.0,0
9,1,lasagne,main,bbc,BBC Food,Lasagne al forno,https://www.bbc.co.uk/food/recipes/mary_berrys_lasagne_al_16923,Schema.org JSON-LD,1,1,1,1,19,10,1.0,0
10,1,thai curry,main,bbc,BBC Food,Easy Thai green curry,https://www.bbc.co.uk/food/recipes/thaigreencurry_67788,Schema.org JSON-LD,1,1,1,1,10,4,1.0,0
11,1,brownies,dessert,bbc,BBC Food,Slow-cooker brownies,https://www.bbc.co.uk/food/recipes/slow-cooked_cream_cheese_96294,Schema.org JSON-LD,1,1,1,0,8,8,1.0,0
12,1,risotto,main,bbc,BBC Food,Butternut squash risotto,https://www.bbc.co.uk/food/recipes/tom_kerridges_butternut_56661,Schema.org JSON-LD,1,1,1,1,13,6,1.0,0
13,1,vegan burger,main,bbc,BBC Food,Glazy chick burger (vegan chicken-style burger with Chinese glaze),https://www.bbc.co.uk/food/recipes/glazy_chick_burger_vegan_80828,Schema.org JSON-LD,1,1,1,0,27,7,1.0,0
14,1,banana bread,dessert,bbc,BBC Food,Easy banana bread,https://www.bbc.co.uk/food/recipes/bananabread_85720,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
15,1,roast chicken,main,bbc,BBC Food,Roast chicken,https://www.bbc.co.uk/food/recipes/roastchicken_90247,Schema.org JSON-LD,1,1,1,1,4,7,1.0,0
16,1,tacos,main,bbc,BBC Food,Beef tacos,https://www.bbc.co.uk/food/recipes/beef_tacos_pepper_relish_19087,Schema.org JSON-LD,1,1,1,1,17,7,1.0,0
17,1,pancakes,breakfast,bbc,BBC Food,Fluffy American pancakes,https://www.bbc.co.uk/food/recipes/fluffyamericanpancak_74828,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
18,1,omelette,breakfast,bbc,BBC Food,Cheese and ham omelette,https://www.bbc.co.uk/food/recipes/cheeseomelette_80621,Schema.org JSON-LD,1,1,1,1,5,5,1.0,0
19,1,ramen,main,bbc,BBC Food,"Chicken, miso and mushroom ramen",https://www.bbc.co.uk/food/recipes/chicken_miso_and_49410,Schema.org JSON-LD,1,1,1,1,17,5,1.0,0
20,1,stir fry,main,bbc,BBC Food,"Chicken, broccoli and oyster sauce stir-fry",https://www.bbc.co.uk/food/recipes/chicken_broccoli_and_82311,Schema.org JSON-LD,1,1,1,0,27,11,1.0,0
21,2,chicken curry,main,bbc,BBC Food,"Black chicken curry, fried leeks and yellow rice",https://www.bbc.co.uk/food/recipes/black_chicken_curry_00331,Schema.org JSON-LD,1,1,1,0,46,19,1.0,0
22,2,vegetarian pasta,main,bbc,BBC Food,Vegetarian bolognese,https://www.bbc.co.uk/food/recipes/puy_lentil_bolognaise_40407,Schema.org JSON-LD,1,1,1,1,15,6,1.0,0
23,2,chocolate cake,dessert,bbc,BBC Food,Chocolate drip cake,https://www.bbc.co.uk/food/recipes/chocolate_drip_cake_48926,Schema.org JSON-LD,1,1,1,1,21,14,1.0,0
24,2,beef stew,main,bbc,BBC Food,Easy slow cooker beef stew,https://www.bbc.co.uk/food/recipes/slow_cooker_beef_stew_24305,Schema.org JSON-LD,1,1,1,1,15,3,1.0,0
25,2,mushroom soup,main,bbc,BBC Food,Mushroom soup with garlic bread,https://www.bbc.co.uk/food/recipes/wild_mushroom_soup_with_65367,Schema.org JSON-LD,1,1,1,0,15,9,1.0,0
26,2,salmon,main,bbc,BBC Food,How to cook salmon,https://www.bbc.co.uk/food/recipes/how_to_cook_salmon_70504,Schema.org JSON-LD,1,1,1,1,11,8,1.0,0
27,2,lentil dal,main,bbc,BBC Food,Chana dal with crispy tarka,https://www.bbc.co.uk/food/recipes/chana_daal_with_tarka_62765,Schema.org JSON-LD,1,1,1,1,18,6,1.0,0
28,2,apple pie,dessert,bbc,BBC Food,Perfect apple pie,https://www.bbc.co.uk/food/recipes/perfect_apple_pie_73735,Schema.org JSON-LD,1,1,1,1,9,11,1.0,0
29,2,lasagne,main,bbc,BBC Food,Lasagne al forno,https://www.bbc.co.uk/food/recipes/mary_berrys_lasagne_al_16923,Schema.org JSON-LD,1,1,1,1,19,10,1.0,0
30,2,thai curry,main,bbc,BBC Food,Easy Thai green curry,https://www.bbc.co.uk/food/recipes/thaigreencurry_67788,Schema.org JSON-LD,1,1,1,1,10,4,1.0,0
31,2,brownies,dessert,bbc,BBC Food,Slow-cooker brownies,https://www.bbc.co.uk/food/recipes/slow-cooked_cream_cheese_96294,Schema.org JSON-LD,1,1,1,0,8,8,1.0,0
32,2,risotto,main,bbc,BBC Food,Butternut squash risotto,https://www.bbc.co.uk/food/recipes/tom_kerridges_butternut_56661,Schema.org JSON-LD,1,1,1,1,13,6,1.0,0
33,2,vegan burger,main,bbc,BBC Food,Glazy chick burger (vegan chicken-style burger with Chinese glaze),https://www.bbc.co.uk/food/recipes/glazy_chick_burger_vegan_80828,Schema.org JSON-LD,1,1,1,0,27,7,1.0,0
34,2,banana bread,dessert,bbc,BBC Food,Easy banana bread,https://www.bbc.co.uk/food/recipes/bananabread_85720,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
35,2,roast chicken,main,bbc,BBC Food,Roast chicken,https://www.bbc.co.uk/food/recipes/roastchicken_90247,Schema.org JSON-LD,1,1,1,1,4,7,1.0,0
36,2,tacos,main,bbc,BBC Food,Beef tacos,https://www.bbc.co.uk/food/recipes/beef_tacos_pepper_relish_19087,Schema.org JSON-LD,1,1,1,1,17,7,1.0,0
37,2,pancakes,breakfast,bbc,BBC Food,Fluffy American pancakes,https://www.bbc.co.uk/food/recipes/fluffyamericanpancak_74828,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
38,2,omelette,breakfast,bbc,BBC Food,Cheese and ham omelette,https://www.bbc.co.uk/food/recipes/cheeseomelette_80621,Schema.org JSON-LD,1,1,1,1,5,5,1.0,0
39,2,ramen,main,bbc,BBC Food,"Chicken, miso and mushroom ramen",https://www.bbc.co.uk/food/recipes/chicken_miso_and_49410,Schema.org JSON-LD,1,1,1,1,17,5,1.0,0
40,2,stir fry,main,bbc,BBC Food,"Chicken, broccoli and oyster sauce stir-fry",https://www.bbc.co.uk/food/recipes/chicken_broccoli_and_82311,Schema.org JSON-LD,1,1,1,0,27,11,1.0,0
41,3,chicken curry,main,bbc,BBC Food,"Black chicken curry, fried leeks and yellow rice",https://www.bbc.co.uk/food/recipes/black_chicken_curry_00331,Schema.org JSON-LD,1,1,1,0,46,19,1.0,0
42,3,vegetarian pasta,main,bbc,BBC Food,Vegetarian bolognese,https://www.bbc.co.uk/food/recipes/puy_lentil_bolognaise_40407,Schema.org JSON-LD,1,1,1,1,15,6,1.0,0
43,3,chocolate cake,dessert,bbc,BBC Food,Chocolate drip cake,https://www.bbc.co.uk/food/recipes/chocolate_drip_cake_48926,Schema.org JSON-LD,1,1,1,1,21,14,1.0,0
44,3,beef stew,main,bbc,BBC Food,Easy slow cooker beef stew,https://www.bbc.co.uk/food/recipes/slow_cooker_beef_stew_24305,Schema.org JSON-LD,1,1,1,1,15,3,1.0,0
45,3,mushroom soup,main,bbc,BBC Food,Mushroom soup with garlic bread,https://www.bbc.co.uk/food/recipes/wild_mushroom_soup_with_65367,Schema.org JSON-LD,1,1,1,0,15,9,1.0,0
46,3,salmon,main,bbc,BBC Food,How to cook salmon,https://www.bbc.co.uk/food/recipes/how_to_cook_salmon_70504,Schema.org JSON-LD,1,1,1,1,11,8,1.0,0
47,3,lentil dal,main,bbc,BBC Food,Chana dal with crispy tarka,https://www.bbc.co.uk/food/recipes/chana_daal_with_tarka_62765,Schema.org JSON-LD,1,1,1,1,18,6,1.0,0
48,3,apple pie,dessert,bbc,BBC Food,Perfect apple pie,https://www.bbc.co.uk/food/recipes/perfect_apple_pie_73735,Schema.org JSON-LD,1,1,1,1,9,11,1.0,0
49,3,lasagne,main,bbc,BBC Food,Lasagne al forno,https://www.bbc.co.uk/food/recipes/mary_berrys_lasagne_al_16923,Schema.org JSON-LD,1,1,1,1,19,10,1.0,0
50,3,thai curry,main,bbc,BBC Food,Easy Thai green curry,https://www.bbc.co.uk/food/recipes/thaigreencurry_67788,Schema.org JSON-LD,1,1,1,1,10,4,1.0,0
51,3,brownies,dessert,bbc,BBC Food,Slow-cooker brownies,https://www.bbc.co.uk/food/recipes/slow-cooked_cream_cheese_96294,Schema.org JSON-LD,1,1,1,0,8,8,1.0,0
52,3,risotto,main,bbc,BBC Food,Butternut squash risotto,https://www.bbc.co.uk/food/recipes/tom_kerridges_butternut_56661,Schema.org JSON-LD,1,1,1,1,13,6,1.0,0
53,3,vegan burger,main,bbc,BBC Food,Glazy chick burger (vegan chicken-style burger with Chinese glaze),https://www.bbc.co.uk/food/recipes/glazy_chick_burger_vegan_80828,Schema.org JSON-LD,1,1,1,0,27,7,1.0,0
54,3,banana bread,dessert,bbc,BBC Food,Easy banana bread,https://www.bbc.co.uk/food/recipes/bananabread_85720,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
55,3,roast chicken,main,bbc,BBC Food,Roast chicken,https://www.bbc.co.uk/food/recipes/roastchicken_90247,Schema.org JSON-LD,1,1,1,1,4,7,1.0,0
56,3,tacos,main,bbc,BBC Food,Beef tacos,https://www.bbc.co.uk/food/recipes/beef_tacos_pepper_relish_19087,Schema.org JSON-LD,1,1,1,1,17,7,1.0,0
57,3,pancakes,breakfast,bbc,BBC Food,Fluffy American pancakes,https://www.bbc.co.uk/food/recipes/fluffyamericanpancak_74828,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
58,3,omelette,breakfast,bbc,BBC Food,Cheese and ham omelette,https://www.bbc.co.uk/food/recipes/cheeseomelette_80621,Schema.org JSON-LD,1,1,1,1,5,5,1.0,0
59,3,ramen,main,bbc,BBC Food,"Chicken, miso and mushroom ramen",https://www.bbc.co.uk/food/recipes/chicken_miso_and_49410,Schema.org JSON-LD,1,1,1,1,17,5,1.0,0
60,3,stir fry,main,bbc,BBC Food,"Chicken, broccoli and oyster sauce stir-fry",https://www.bbc.co.uk/food/recipes/chicken_broccoli_and_82311,Schema.org JSON-LD,1,1,1,0,27,11,1.0,0
61,4,chicken curry,main,bbc,BBC Food,"Black chicken curry, fried leeks and yellow rice",https://www.bbc.co.uk/food/recipes/black_chicken_curry_00331,Schema.org JSON-LD,1,1,1,0,46,19,1.0,0
62,4,vegetarian pasta,main,bbc,BBC Food,Vegetarian bolognese,https://www.bbc.co.uk/food/recipes/puy_lentil_bolognaise_40407,Schema.org JSON-LD,1,1,1,1,15,6,1.0,0
63,4,chocolate cake,dessert,bbc,BBC Food,Chocolate drip cake,https://www.bbc.co.uk/food/recipes/chocolate_drip_cake_48926,Schema.org JSON-LD,1,1,1,1,21,14,1.0,0
64,4,beef stew,main,bbc,BBC Food,Easy slow cooker beef stew,https://www.bbc.co.uk/food/recipes/slow_cooker_beef_stew_24305,Schema.org JSON-LD,1,1,1,1,15,3,1.0,0
65,4,mushroom soup,main,bbc,BBC Food,Mushroom soup with garlic bread,https://www.bbc.co.uk/food/recipes/wild_mushroom_soup_with_65367,Schema.org JSON-LD,1,1,1,0,15,9,1.0,0
66,4,salmon,main,bbc,BBC Food,How to cook salmon,https://www.bbc.co.uk/food/recipes/how_to_cook_salmon_70504,Schema.org JSON-LD,1,1,1,1,11,8,1.0,0
67,4,lentil dal,main,bbc,BBC Food,Chana dal with crispy tarka,https://www.bbc.co.uk/food/recipes/chana_daal_with_tarka_62765,Schema.org JSON-LD,1,1,1,1,18,6,1.0,0
68,4,apple pie,dessert,bbc,BBC Food,Perfect apple pie,https://www.bbc.co.uk/food/recipes/perfect_apple_pie_73735,Schema.org JSON-LD,1,1,1,1,9,11,1.0,0
69,4,lasagne,main,bbc,BBC Food,Lasagne al forno,https://www.bbc.co.uk/food/recipes/mary_berrys_lasagne_al_16923,Schema.org JSON-LD,1,1,1,1,19,10,1.0,0
70,4,thai curry,main,bbc,BBC Food,Easy Thai green curry,https://www.bbc.co.uk/food/recipes/thaigreencurry_67788,Schema.org JSON-LD,1,1,1,1,10,4,1.0,0
71,4,brownies,dessert,bbc,BBC Food,Slow-cooker brownies,https://www.bbc.co.uk/food/recipes/slow-cooked_cream_cheese_96294,Schema.org JSON-LD,1,1,1,0,8,8,1.0,0
72,4,risotto,main,bbc,BBC Food,Butternut squash risotto,https://www.bbc.co.uk/food/recipes/tom_kerridges_butternut_56661,Schema.org JSON-LD,1,1,1,1,13,6,1.0,0
73,4,vegan burger,main,bbc,BBC Food,Glazy chick burger (vegan chicken-style burger with Chinese glaze),https://www.bbc.co.uk/food/recipes/glazy_chick_burger_vegan_80828,Schema.org JSON-LD,1,1,1,0,27,7,1.0,0
74,4,banana bread,dessert,bbc,BBC Food,Easy banana bread,https://www.bbc.co.uk/food/recipes/bananabread_85720,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
75,4,roast chicken,main,bbc,BBC Food,Roast chicken,https://www.bbc.co.uk/food/recipes/roastchicken_90247,Schema.org JSON-LD,1,1,1,1,4,7,1.0,0
76,4,tacos,main,bbc,BBC Food,Beef tacos,https://www.bbc.co.uk/food/recipes/beef_tacos_pepper_relish_19087,Schema.org JSON-LD,1,1,1,1,17,7,1.0,0
77,4,pancakes,breakfast,bbc,BBC Food,Fluffy American pancakes,https://www.bbc.co.uk/food/recipes/fluffyamericanpancak_74828,Schema.org JSON-LD,1,1,1,1,9,6,1.0,0
